N,threshold,threads,T_serial_s,T_parallel_s,Speedup_Sp,Efficiency_Ep
10000000,50000,1,1.23637,1.2302,1.00501,1.00501
10000000,50000,2,1.22809,0.68318,1.79761,0.898804
10000000,50000,4,1.32223,0.690269,1.91553,0.478883
10000000,50000,8,1.21891,0.405794,3.00377,0.375471
