N,threads,T_serial_s,T_parallel_s,Speedup_Sp,Efficiency_Ep
1000000,1,0.100903,0.10085,1.00053,1.00053
1000000,2,0.105052,0.0837795,1.25391,0.626953
1000000,4,0.100446,0.0810067,1.23997,0.309993
1000000,8,0.107708,0.0674052,1.59792,0.19974
